,programme,preferred,4 Core + Best 2 Elective Subjects,Any Best 5 Subjects,Any Best 6 Subjects,Chinese & English Languages + Any Best 3 Subjects,English Language,Mathematics,Chinese Language,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Physics,Information and Communication Technology,,Business, Accounting and Ficial Studies, Accounting and Ficial Studies (Accounting), Accounting and Ficial Studies (Business Management),Economics,Liberal Studies,Design and Applied Technology,Visual Arts,Film and Video / Film and Video Studies,Image Design,Innovative Product Design,Interior Design,Multimedia Entertainment Studies
42,JS3741,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,JS3478,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Combined Science: Biology + Chemistry",0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,JS3337,"Chinese Language,English Language,Mathematics,Liberal Studies,Biology,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics",1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,JS3648,"Chinese Language,English Language,Mathematics,Liberal Studies,Biology,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics",1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,JS3624,"Chinese Language,English Language,Biology,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics",0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,JS3650,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,JS3636,"Chinese Language,English Language,Biology,Physics,Combined Science: Biology + Physics",0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,JS3557,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,JS3442,English Language,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,JS3612,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,JS3545,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,JS3662,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,JS3789,English Language,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,JS3351,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
